Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
28sNB5t4eerm3lDrxVhUF5,3FUdI1f4fxFs8SlXUArAnv,How Will I Know It's U?,How Will I Know It's U?,Pebble,9/4/2022,196423,6,spotify:user:lqajbhk923vkq8v464wumf1yb,2023-10-29T19:41:09Z,,0.425,0.931,1,-6.785,0,0.0624,0.0000263,0.000478,0.187,0.174,115.047,4
0RAK8pNLH8cHq38Ji8kvsA,3FUdI1f4fxFs8SlXUArAnv,Frog (Chicken),FROG,Pebble,10/6/2022,175977,0,spotify:user:lqajbhk923vkq8v464wumf1yb,2023-10-29T19:41:16Z,,0.542,0.73,9,-7.387,0,0.0354,0.0134,0.000083,0.0864,0.55,105.098,4
19GHBOVmgaKThSV4VpqXsO,3FUdI1f4fxFs8SlXUArAnv,FIZZY,FROG,Pebble,10/6/2022,149460,0,spotify:user:lqajbhk923vkq8v464wumf1yb,2023-10-29T19:41:16Z,,0.525,0.763,0,-5.842,1,0.0488,0.0109,0.0000198,0.34,0.526,120.07,4
5ph8d665GPMsf1NDZTocM1,3FUdI1f4fxFs8SlXUArAnv,Hair On The Floor,FROG,Pebble,10/6/2022,192645,0,spotify:user:lqajbhk923vkq8v464wumf1yb,2023-10-29T19:41:16Z,,0.232,0.816,5,-6.501,1,0.0573,0.00901,0.000731,0.34,0.324,84.049,4
6OFH7mnRUAAKPBNuvQEAwW,0kjtAQI9niv8tH33QkhuuM,overly flowery ❀,overly flowery ❀,Quite Quiet,3/2/2017,136059,1,spotify:user:lqajbhk923vkq8v464wumf1yb,2023-10-29T18:35:17Z,singaporean indie,0.36,0.154,5,-17.736,1,0.0447,0.89,0.000282,0.0697,0.499,159.864,4
6p1YqXjhcKknATg7NEDYlv,0kjtAQI9niv8tH33QkhuuM,I'm Not Upset by This,Everyone's Sorry When It's 2 L8,Quite Quiet,3/2/2017,109728,1,spotify:user:lqajbhk923vkq8v464wumf1yb,2023-10-29T19:37:43Z,singaporean indie,0.666,0.226,6,-14.878,0,0.0452,0.847,0.0117,0.103,0.223,133.6,3
2OLWCRQHwehRe9h50Klp8o,0kjtAQI9niv8tH33QkhuuM,Blunt Scissors,Everyone's Sorry When It's 2 L8,Quite Quiet,3/2/2017,150792,1,spotify:user:lqajbhk923vkq8v464wumf1yb,2023-10-29T19:37:43Z,singaporean indie,0.566,0.262,9,-13.013,1,0.0332,0.938,0.0047,0.0807,0.478,111.873,4
1JOJgEZ3EXmch5zjxd8yTp,0kjtAQI9niv8tH33QkhuuM,Oinky,Everyone's Sorry When It's 2 L8,Quite Quiet,3/2/2017,82561,1,spotify:user:lqajbhk923vkq8v464wumf1yb,2023-10-29T19:37:43Z,singaporean indie,0.563,0.228,9,-11.482,1,0.0315,0.945,0.0087,0.112,0.236,108.374,4
0fP7E4hfhfUEC4bX7vzIIi,0kjtAQI9niv8tH33QkhuuM,Your Bones Aren't Made of Glass,Everyone's Sorry When It's 2 L8,Quite Quiet,3/2/2017,164063,1,spotify:user:lqajbhk923vkq8v464wumf1yb,2023-10-29T19:37:43Z,singaporean indie,0.459,0.378,7,-11.872,1,0.0295,0.894,0.892,0.131,0.423,105.354,4
1ECIMGTD17Fh8miROA7vsc,0kjtAQI9niv8tH33QkhuuM,Girl in Sunny Island,Disoriented,Quite Quiet,3/2/2017,209789,0,spotify:user:lqajbhk923vkq8v464wumf1yb,2023-10-29T19:37:50Z,singaporean indie,0.656,0.483,9,-11.198,1,0.0401,0.739,0.000779,0.053,0.779,140.06,4
1xKkcKFsIy3DlwG3IPsmY8,0kjtAQI9niv8tH33QkhuuM,90s Polo Caps,Disoriented,Quite Quiet,3/2/2017,271595,1,spotify:user:lqajbhk923vkq8v464wumf1yb,2023-10-29T19:37:50Z,singaporean indie,0.398,0.53,9,-11.143,1,0.0408,0.776,0.001,0.322,0.509,179.792,4
